Maxima:
0. maximum at 0, I/I0 = 1
1. maximum at 0.00103103, I/I0 = 0.0174927
2. maximum at 0.00169169, I/I0 = 0.00415657
3. maximum at 0.00234234, I/I0 = 0.0016005
4. maximum at 0.00298298, I/I0 = 0.000779314
5. maximum at 0.00361361, I/I0 = 0.000436851
6. maximum at 0.00425425, I/I0 = 0.000269287
7. maximum at 0.00488488, I/I0 = 0.000177494
8. maximum at 0.00552553, I/I0 = 0.00012319
9. maximum at 0.00615616, I/I0 = 8.89594e-005
10. maximum at 0.00678679, I/I0 = 6.6293e-005
11. maximum at 0.00742743, I/I0 = 5.07594e-005
12. maximum at 0.00805806, I/I0 = 3.97169e-005
13. maximum at 0.00868869, I/I0 = 3.16451e-005
14. maximum at 0.00932933, I/I0 = 2.56298e-005
15. maximum at 0.00995996, I/I0 = 2.10524e-005

Minima:
1. minimum at 0.000770771, I/I0 = 1.17571e-006
2. minimum at 0.00141141, I/I0 = 5.31657e-007
3. minimum at 0.00205205, I/I0 = 4.78336e-007
4. minimum at 0.00268268, I/I0 = 3.00326e-008
5. minimum at 0.00331331, I/I0 = 2.62151e-007
6. minimum at 0.00395395, I/I0 = 6.45684e-008
7. minimum at 0.00458458, I/I0 = 3.7053e-011
8. minimum at 0.00521522, I/I0 = 2.24652e-008
9. minimum at 0.00584585, I/I0 = 6.38782e-008
10. minimum at 0.00648649, I/I0 = 1.25809e-008
11. minimum at 0.00711712, I/I0 = 5.29069e-011
12. minimum at 0.00774775, I/I0 = 5.17188e-009
13. minimum at 0.00837838, I/I0 = 1.77052e-008
14. minimum at 0.00901902, I/I0 = 7.09257e-009
15. minimum at 0.00964965, I/I0 = 4.37003e-010
